block_number,transaction_hash,transaction_index,log_index,pool_id_or_address,quote_symbol,direction,quotron_amount_wei,quotron_amount
34984615,0x33507062aab6b94141cd85b89bfac97a151b42623d8e25f80cc0b06b298e46f3,5,7,0x0e18ada400ced8a77b82426983a7cb35804b3919e56a0c5dd1086856fc3acf2f,USDG,buy-quotron,66000000000000000,0.066
34987142,0xa84100cc2bf10484681b6a8e62bddd79f77fd4592d7ee90f9a8a51a6149260f1,2,7,0x0e18ada400ced8a77b82426983a7cb35804b3919e56a0c5dd1086856fc3acf2f,USDG,buy-quotron,47094869436285727,0.047094869436285727
34987142,0xa84100cc2bf10484681b6a8e62bddd79f77fd4592d7ee90f9a8a51a6149260f1,2,10,0x12255da5a22c6b07a0a77055d299320611c945426561b5dd7fff93ffb0c843ec,USDG,buy-quotron,59938924737090927,0.059938924737090927
34987142,0xa84100cc2bf10484681b6a8e62bddd79f77fd4592d7ee90f9a8a51a6149260f1,2,17,0x70fc6b95bc9647a87705f0b847ea7e55c5304892d547c92ce0bc40c9c6dbab91,ETH,buy-quotron,963304147560389893,0.963304147560389893
34987796,0x8afaddc449daafc932a52f8520995e1645e0a9702aa2dc0f59e5d2389f56e895,4,7,0x70fc6b95bc9647a87705f0b847ea7e55c5304892d547c92ce0bc40c9c6dbab91,ETH,buy-quotron,245420245530580511,0.245420245530580511
34987839,0x007376a1215a803f692d121df77e906bfe17e8ccfce8a5cecc49b0de9ffbb5eb,9,11,0x729d3926864156f4ba2d3c00e6278459e4f3065ede667eafd16db7548678356e,ETH,buy-quotron,2453832507520700993,2.453832507520700993
34988110,0xc02039c6821e2bed5d43ada4fcdc0acfaa8ee64999bd0b2e1d0fff4c00fa711e,6,20,0x729d3926864156f4ba2d3c00e6278459e4f3065ede667eafd16db7548678356e,ETH,buy-quotron,2433286698213984170,2.43328669821398417
34988663,0x4240cec6d07c21e835a788aff054a035c05a910832c7a89241c8c27050bed31f,4,16,0x729d3926864156f4ba2d3c00e6278459e4f3065ede667eafd16db7548678356e,ETH,sell-quotron,2016328488248362529,2.016328488248362529
34990091,0xd973acf39d98dadf9c1f1891d148191809d7f703145336386681ed8445f2c9c5,3,19,0x12255da5a22c6b07a0a77055d299320611c945426561b5dd7fff93ffb0c843ec,USDG,sell-quotron,33604079551914875,0.033604079551914875
34990211,0xf8d654e1b77cf5b08e0410c90b13e0411de36435b56d3c867e35cff5ea9a5b3f,4,32,0x0e18ada400ced8a77b82426983a7cb35804b3919e56a0c5dd1086856fc3acf2f,USDG,sell-quotron,32228647766998940,0.03222864776699894
34990344,0xe6c882ef810394f1f2bc8e2e974d667c5dc7da55120d5d7e7c5eb4c612a1a353,11,36,0x70fc6b95bc9647a87705f0b847ea7e55c5304892d547c92ce0bc40c9c6dbab91,ETH,sell-quotron,31638901462622211,0.031638901462622211
34990885,0x52470a0115837f88915498b049404b5c0be2813de0086f01cc60ea96d987c4c2,3,20,0x0e18ada400ced8a77b82426983a7cb35804b3919e56a0c5dd1086856fc3acf2f,USDG,sell-quotron,131357671422159210,0.13135767142215921
34990885,0x52470a0115837f88915498b049404b5c0be2813de0086f01cc60ea96d987c4c2,3,23,0x6598930795838a2dff245ef362d9132963c9e3bce815bd346edead74268d7c5c,USDG,sell-quotron,234365685714171890,0.23436568571417189
34990885,0x52470a0115837f88915498b049404b5c0be2813de0086f01cc60ea96d987c4c2,3,26,0x12255da5a22c6b07a0a77055d299320611c945426561b5dd7fff93ffb0c843ec,USDG,sell-quotron,124839353543128915,0.124839353543128915
34990885,0x52470a0115837f88915498b049404b5c0be2813de0086f01cc60ea96d987c4c2,3,30,0x70fc6b95bc9647a87705f0b847ea7e55c5304892d547c92ce0bc40c9c6dbab91,ETH,sell-quotron,2046130466362957047,2.046130466362957047
34990894,0x6b58c867efdf37c4a3d71e00f1e11d82f2f267eab91a26594f639e29f2606a5b,3,0,0xbc8daf9854280230ad91c55d3a18c2d239a73b3d1dc9824eb0956c754d99e9f1,USDG,sell-quotron,5911296125451113,0.005911296125451113
34990894,0x6b58c867efdf37c4a3d71e00f1e11d82f2f267eab91a26594f639e29f2606a5b,3,1,0x12255da5a22c6b07a0a77055d299320611c945426561b5dd7fff93ffb0c843ec,USDG,buy-quotron,5911296125451113,0.005911296125451113
34991099,0x0d002cd07ca9ee18a9bcbc1d22566d0fbab15a94fbc51f62177ad693a0e41370,11,34,0x70fc6b95bc9647a87705f0b847ea7e55c5304892d547c92ce0bc40c9c6dbab91,ETH,buy-quotron,1048918440426145942,1.048918440426145942
34991101,0xeb450b8676dff88f0c98ae587266f86f5cfff6165b5c05c8c10c424a0cf57d60,1,0,0x70fc6b95bc9647a87705f0b847ea7e55c5304892d547c92ce0bc40c9c6dbab91,ETH,sell-quotron,31892664749973104,0.031892664749973104
34991101,0xeb450b8676dff88f0c98ae587266f86f5cfff6165b5c05c8c10c424a0cf57d60,1,1,0x12255da5a22c6b07a0a77055d299320611c945426561b5dd7fff93ffb0c843ec,USDG,buy-quotron,31892664749973104,0.031892664749973104
34992495,0xa5ce4ac64fbfc40ebd020729ad3e5c67ac936e6dd6eb066a027e1e1c9a89d522,7,31,0x0e18ada400ced8a77b82426983a7cb35804b3919e56a0c5dd1086856fc3acf2f,USDG,buy-quotron,158064618574364575,0.158064618574364575
34992496,0x8c088c32eefc537b5507749e570c38ab1300421258f1429bfbd407156c277bd9,9,34,0x0e18ada400ced8a77b82426983a7cb35804b3919e56a0c5dd1086856fc3acf2f,USDG,sell-quotron,38772550328106193,0.038772550328106193
34992496,0x8c088c32eefc537b5507749e570c38ab1300421258f1429bfbd407156c277bd9,9,37,0x12255da5a22c6b07a0a77055d299320611c945426561b5dd7fff93ffb0c843ec,USDG,buy-quotron,38772550328106193,0.038772550328106193
34992563,0x2fa0ad48ee290fd1f32359da8cdb267b8b3c7d7593f5f93591fb4838b903a57c,1,4,0x70fc6b95bc9647a87705f0b847ea7e55c5304892d547c92ce0bc40c9c6dbab91,ETH,buy-quotron,608267262537486856,0.608267262537486856
34992719,0x754a58ee5a800b18d69c11e42bd0529d18609c6368d705c935a4146f9854ba72,10,37,0x70fc6b95bc9647a87705f0b847ea7e55c5304892d547c92ce0bc40c9c6dbab91,ETH,buy-quotron,786688830319609457,0.786688830319609457
34992720,0x967a9206523166356a0871da98c1382c4532e78094c1694d369017f4dec13cd8,6,7,0x70fc6b95bc9647a87705f0b847ea7e55c5304892d547c92ce0bc40c9c6dbab91,ETH,sell-quotron,24426961388447321,0.024426961388447321
34992720,0x967a9206523166356a0871da98c1382c4532e78094c1694d369017f4dec13cd8,6,8,0x12255da5a22c6b07a0a77055d299320611c945426561b5dd7fff93ffb0c843ec,USDG,buy-quotron,24426961388447321,0.024426961388447321
34992798,0x49bf21a3398c4802f48e915747022721705ef683b4d9e58ae5a082d3f95db0c3,10,82,0x70fc6b95bc9647a87705f0b847ea7e55c5304892d547c92ce0bc40c9c6dbab91,ETH,sell-quotron,1037902739219075907,1.037902739219075907
34992839,0x8c4b8af656c1c0d4383bc5ea0ed41e8ce91d07ec7f81229bfc7bb1fc74ef4154,12,15,0x70fc6b95bc9647a87705f0b847ea7e55c5304892d547c92ce0bc40c9c6dbab91,ETH,buy-quotron,590016622739707093,0.590016622739707093
34992985,0xe42081e41e4310debd5138fd6abe1a5dbee56384ffee68c6e92d4c231a7e9bfb,6,19,0x70fc6b95bc9647a87705f0b847ea7e55c5304892d547c92ce0bc40c9c6dbab91,ETH,buy-quotron,1770049868219121279,1.770049868219121279
34993079,0xbab86c46302a9a4dd1b60f51111c893cec641aff8db71a0dc73710e9032ab030,1,6,0x70fc6b95bc9647a87705f0b847ea7e55c5304892d547c92ce0bc40c9c6dbab91,ETH,sell-quotron,64269707595321290,0.06426970759532129
34993276,0xce892accb27b6c5fad30d0cf4f827843ac8ed2a638920204023ae4a561a850d6,4,9,0x70fc6b95bc9647a87705f0b847ea7e55c5304892d547c92ce0bc40c9c6dbab91,ETH,sell-quotron,1045531899549184035,1.045531899549184035
34994015,0x14a18f91440692645720c01572d54f700ef5c349428349f7a051c63c11fd0f34,14,29,0xbc8daf9854280230ad91c55d3a18c2d239a73b3d1dc9824eb0956c754d99e9f1,USDG,buy-quotron,8854308868960716,0.008854308868960716
34994015,0x14a18f91440692645720c01572d54f700ef5c349428349f7a051c63c11fd0f34,14,32,0x12255da5a22c6b07a0a77055d299320611c945426561b5dd7fff93ffb0c843ec,USDG,buy-quotron,101824551993048238,0.101824551993048238
34994015,0x14a18f91440692645720c01572d54f700ef5c349428349f7a051c63c11fd0f34,14,35,0x0e18ada400ced8a77b82426983a7cb35804b3919e56a0c5dd1086856fc3acf2f,USDG,buy-quotron,115106015296489313,0.115106015296489313
34994015,0x14a18f91440692645720c01572d54f700ef5c349428349f7a051c63c11fd0f34,14,38,0x6598930795838a2dff245ef362d9132963c9e3bce815bd346edead74268d7c5c,USDG,buy-quotron,216930567289537554,0.216930567289537554
34994015,0x14a18f91440692645720c01572d54f700ef5c349428349f7a051c63c11fd0f34,14,43,0x729d3926864156f4ba2d3c00e6278459e4f3065ede667eafd16db7548678356e,ETH,buy-quotron,953313921558103801,0.953313921558103801
