recipient,amount_wei,liquid_cutoff_block,leaf
0x00075dcB3e05Ba3a3192C1635DAa97EbE4d023F9,35795099645776012,34984482,0x7d2712017aa184849aa10b9b2aa99b9acc3ad3a88ddaa419dc757d056399ede7
0x00775eeEc09b6E0743462e4E3a8410b6f1574949,67826558116388856,34984482,0x93ab4e0b41a6cf1a6e161ae02ab09afa1f25e8b8b6d578a96f3bb690b5758889
0x00861AEFc755F19E971933911767BE9C8DD4AeA5,252187716554494222,34984482,0xd6ead73892d5d233544c92913226d8eb926b82bb6913dc6d3fdb328fb9b84aac
0x01E7b7EfEE5150B83B4448F85FfEE9d9e867e3c4,562330153097644,34984482,0x237a6b42c0e2f32809d1ae5ac9aa6be89d45a6a30e708ebb705d5dcf2e6a3da2
0x021e099ab6fa3be65882bB2d0752C0214d8264a3,58,34984482,0x9aad29dbeae4f8329a903e53ff690ec2d9f996b2dfc938a786bf95b452590a3c
0x02508fFd76E9f7350320Ec0d44787468E4dbcaB1,955513529426418790,34984482,0x12611265b52431a26eea9feb89e4f490bd283f0d039d8545544ff25dbf92764f
0x025c7Ca2E2892bf6cB3664817828C93DFcee9172,334134934687272217,34984482,0xc13fbf28eeedda71eac2a26356b58aee2762f0cddd0196bec58d20407ecbd420
0x029dA1dda05aB47F1c539F6B6549ffC2eA568Eaa,49967511191960686,34984482,0xf2485d3feccf379d8028a769c912b8e827f0f1c75a68598f567edd2f6460d4a0
0x03879dA9151Af28D8Aa88a407D29473086b03f35,16134276251794632,34984482,0x6ed49d77f92d71e8117f0ad5301e915e1a818aaac895b9951f2049cf65ef25a4
0x03E3fd5638D4085e7787624e5dC89F16017dcB59,731609806147173906,34984482,0x4bd374eebc6db4fbc8b41fc812adc64ed5482bb67816c2c196b3aa4d2a75dfcf
0x03E93deF3797B059c20F5eC65833772a1EB17028,71785442922714354,34984482,0x3560f3ffbc4396c62f378a6e978f583663de7d352636e19d3b1cddf7d0bd4573
0x03fAA4AFC24dAF52c92916aB293326eB985cacB1,181575810309992133,34984482,0xd99bb299181fbb5f1ec57a576966ea49acf9957dd3b11c1a5229c9b938b6897d
0x03FDef14113fFCe886A4B61FA08A0C747E87aA96,142125923967568870,34984482,0x304f5f72af9982bbc60407e9b3cceb17e2809159672e206913a326496185f0d8
0x044890A8501fA742Cf3A9a4400f1921866b22076,487933710510984105,34984482,0xe4496da826fae4dd2745804f20490925455d21961c467ce067fe33604b127eb9
0x04B436555Dc69Ea4Bf8BA50d8C591E60443B3fF9,11544078705651733,34984482,0xdf718ea403f6b44da8fb69d87f860fee7f6e2120d40b85808fe9d6e61649ee38
0x04Cb51903a54f39abc45e3A0Df9BBC9dAFc5C674,284587705948818418,34984482,0xf391411e38c45fa0a257583c45bac79d2d6deaa1e9a226fbddedaf8919a6415c
0x05036487D03474CDb34347982d05F4e05795172B,28625185358217276,34984482,0x795168c140f731df045c53e42d2a176b96d38d18d6dc47df7df9d33e02265fc9
0x0585Dc0771ac3039d6bEA00B860B50aFfEEac1F7,44511476079416572,34984482,0xb4de5e4c1348a5ee631401dc1e410c42efaa1e2adf4b16317b38ef421633a0c4
0x05C8F35D28440aC3E09ACFaf1CCa04D42b777F87,2205595591,34984482,0x4eeeea6f3e1a738495696a3d73f7dbeee359796351a1f4ae230a2a8fe198b855
0x05d3cD6859FCd219b4482Fb1D72743f07df8D606,780301891985492780,34984482,0x91fa23d79f8ad4245bc7e238c3c0bc1f6bf8a4baef071d1e400fa532189ac1a0
0x05d3eb61ba14218bcB36600Ab0cD51a240339a02,10499109804189000,34984482,0xb713dab8f7d1d740747ccdc2db37e2eb9214d9c78cd2842a035e6568a1fd6bbe
0x0659bC75e983dAE7B7B94A286aD5E12B22c26666,824274134577,34984482,0x0d2ec2d50b4d53d917d12467756dc759d4a8c2f9808146071234f01c7e73e0a6
0x06fbB9E1c009398438bF81757d257E40561DDBD7,839181143926581147,34984482,0xffa7eaac8f8e3365922a017d291268a0459a7ffa17994c3107e7f5842be8f383
0x07964f135f276412b3182a3B2407b8dd45000000,450000000000000,34984482,0x7c1d3707dcb49b0df93db9c33e6df99781f42518f628898688a600e83470357c
0x07F204F9A0007Bdb6F17e453bB1c2509d5A988C5,657853427694982389,34984482,0x3a826668c851b861e6ec33bb44fdc5609e218cc3c973dbb2430daf030d2e0c8b
0x088A68D2044Bd36C3Fb8A3E9C1aaF72C5eBa1349,582297761657357111,34984482,0x3ca440973759b4a574fc5193ac0ea30bce79efc6b588b3e755adc2c02dee3d0e
0x09377BA0eB4e005561C842774B12F78991EF8C1d,82,34984482,0x7ea24c248e251020ff94623d20729c41e8f865f8b0094dcff76e34bcb7876038
0x0998046E92be1E714a89f0800C29A8a0d962Df46,3,34984482,0x65a2c25c08c904f3c6eb2979f7a9d636e4a75058c8169475511638ad66250b19
0x0A33BB5047489ee4fad6604F3fA5FC65E4Df378c,695533991794226935,34984482,0x5b7e8a112c7a44332da3054438449256982e15d02a83ed6919ab462e554d1cfa
0x0a5280F6c9aaD5B5b3D6fE20737871cB5bC52B07,131286262316451805,34984482,0x0f9bcb0b560e1d02bd96c892cd3ecf1ae5313350f75a3ed7d17c66fd78b27af4
0x0b0b4f0ac798fE7e504bE178D6A9Fc845E45C8cC,608267262537486856,34984482,0xd75843f234bedf84da07c543823777487c34e1662902a0c23d14581cfa7d8ec0
0x0B0F013a630493849E6927d8bF0D1e5d802f756b,9132429087072031,34984482,0xde20a741ba7df4e71ff69339c710c51274680985db7a63971320dccfe4b112ac
0x0B507251D56E14Ea9de800129AC36a2E15F88A6d,695594774932997982,34984482,0x20c8cdfd64eaffd1bec647d3c18d0735992d5318bf7f7d27bcef19e2daa2eadc
0x0B633E18C89312f5FfdF7C2Caec3F308FaD3Cb0e,4289011305249108,34984482,0x5dd20e42bf15034bdfc389616d033697691af23f1bd61939b284c4e749345e8e
0x0BD25AAF269cB40d023bE6c80Ab5c8cD08746935,589692326832825285,34984482,0xc8abe39117090197278c18b0484db0e911063cef673504e91386e6ecad37e7d0
0x0c60Bafc302102daa287ca91ABa674A4A17e6eBe,982962462035554328,34984482,0xa2871ad587d1d589883f500a395bef72cfac756667c64d556181799744c1d595
0x0DE96b5bF4fd5bE74eac3AC14035C97C142206FF,57087238538984666,34984482,0xae782095272eb2e50ce7d4bd947c107d5692a8ee3c229e26f6e3ab813c0ce0c7
0x0e4cb981Aa087847eF0C9F0C0989d884a86D04c3,66393332619322668,34984482,0x97846ec9aad3d033a4311e4b651c59fd756855c4f69fa7c8116a14e16f36f655
0x0eAd9488903F910F6149B08C8b3112191b4A8b24,190835352316119585,34984482,0xd12828b06e08e3ff6a07a337bcd62285eb808481c79689e7a85e9df324066dbd
0x0ffc52f052D30Ec83a8709F148957Bf2bD956938,323168133189733,34984482,0x35325a6503bf5f137759e3774bfecb710ecf57a87e3dd1d3c4dc7dcb9d3230c9
0x10364Cd9b418EE616C0A56379Ba7D1DD63b108aA,2,34984482,0xeea55edc85929791abdc35bab85f00144eb3845a53307f90c88d2b725bd57f50
0x10F4D92100765c69be9Ed4D5ADd4F272D4242723,20359129220598961,34984482,0x85b23fd6017777ab6921f950f54e5864126df01c8cf26332be8e4ab99011ca27
0x111116053F09d34a7Eae8102887004445176CA11,1,34984482,0x9594847fb76f39f6d6cc54906a7ebb2bc4edc83db9a51a6bf9ec941324fb659b
0x1185b52B5EEC9833948AD107c21a3446A3F59b0c,348514636475211502,34984482,0xbc224a0ee52da12fbe8e7f45d9252bcbb644e7bde77a5676da8d2d27988e7aae
