event_index,victim,original_v1_id,assigned_v2_id,replacement_policy,conflict_reason,floor_code,tier_index,replacement_floor_code,replacement_tier_index,incident_block,incident_transaction
0,0xA18A50ee01a507c26a30Cd3e24e6c0F088C2e676,425,26,same-floor-same-tier,pause-block-holder,8,0,8,0,34925679,0xba89fecd021425bec9366f7dcde9ba69ce479234e71d124f3143bf954ba3ed3c
1,0xc5e2B8f0E92fbB2095a13942482050aF0B836FeF,973,178,same-floor-same-tier,pause-block-holder,2,1,2,1,34925695,0xc61c143cfc8fb6f770b893f32368c53d453cbbdb1cfee5f6a183da26a289b4b0
2,0xE6A823d73BC242B14A3ce3905Da6D535209C267f,1223,42,same-floor-same-tier,pause-block-holder,3,2,3,2,34925710,0x394c34bc4e68c8f3fb4ccb76de56bf471f93b3ef82c12bde060108d2aeed8ddf
3,0x1491a38f227c7318106C722E7Db6F93ACC53D970,1577,1577,exact-id,,8,0,8,0,34925725,0x64a6ac173829617b166e5f7f3ee84b9a9f4e1f32c749b4ff44653b37f0c6dbea
4,0xE96E9F95a5f4200dC7e27E966E4d6D84168a9BB1,1590,1590,exact-id,,5,1,5,1,34925846,0x2ab568436b4dd49a1d6755f30c4adc13d04b3582d0a382d136b7556ffb740564
5,0x1f3cc123f5C83C34Ee68B9Bd7b13039A73D3E937,1595,2,same-floor-same-tier,pause-block-holder,9,1,9,1,34925861,0x2480e7f1aef18781b075ff68a9f21f43d68350ccb672a20f49dd6a199de3460a
6,0x1f3cc123f5C83C34Ee68B9Bd7b13039A73D3E937,1989,1989,exact-id,,5,1,5,1,34925876,0x58b113c88b336b7a5a942db5770fbe1a03333adc998dfc2e428fc3a2ccbb5f0c
7,0xA18A50ee01a507c26a30Cd3e24e6c0F088C2e676,1996,129,same-floor-same-tier,pause-block-holder,7,1,7,1,34925891,0x5246e6d904fb5dcac41d5c9f4ffb364b7b13dc18af72b90fd12ff088381ce62f
8,0xA18A50ee01a507c26a30Cd3e24e6c0F088C2e676,2351,2351,exact-id,,9,1,9,1,34925906,0xfbaf37613e89752ecd452f921f7ff579986ef4080cf3dcc453252acf078d0708
9,0x3dBD530e3f75FdEC00e013e26bbf95eD40b7e5c2,2587,2587,exact-id,,5,0,5,0,34925921,0x62ded404f13fde3d358651a320fd1f9daf7b6c58611c9fa49d40c5cd0156f71c
10,0x1f3cc123f5C83C34Ee68B9Bd7b13039A73D3E937,2823,2823,exact-id,,9,0,9,0,34925936,0x28d88761a0d5aa5bd5698edeb2fff1939e760fd612d62be456f77387beba3178
11,0xB37FCb9607B2636Ce692061AD3de99AEC5d8435c,3070,27,same-floor-same-tier,pause-block-holder,9,2,9,2,34925952,0x92b944c06353135f758c9498f25cc88ee4c8afe173c1ffdd66e829769eb912d6
12,0xc5e2B8f0E92fbB2095a13942482050aF0B836FeF,3330,3330,exact-id,,4,1,4,1,34926013,0x0a3342a64fbc2e5ac015f95a35c9a16c0e9472f01c3fd0afb94461eabd7d5153
13,0xE6A823d73BC242B14A3ce3905Da6D535209C267f,3336,3336,exact-id,,5,1,5,1,34926028,0x89a9626c8545020c32d14062fd9e654f5bc065d970688623eb3b7e39c3a0df61
14,0xB37FCb9607B2636Ce692061AD3de99AEC5d8435c,3617,20,same-floor-same-tier,pause-block-holder,2,0,2,0,34926042,0xdb6592eea5fa5f9d18638c5db380ce07c3726468b3f148b74c32556c210fe443
15,0xB37FCb9607B2636Ce692061AD3de99AEC5d8435c,3858,3858,exact-id,,2,0,2,0,34926058,0x74c85a5947a9ae47b33cd9bfeb52880066a7784230c6ab7596a63113f81190d6
16,0x1491a38f227c7318106C722E7Db6F93ACC53D970,3966,3966,exact-id,,1,1,1,1,34926073,0x0bd0211aa75b9e7caa4a09bbd5ae5913fc3a65cbfe396ac4adfeb018d523548a
17,0xA18A50ee01a507c26a30Cd3e24e6c0F088C2e676,4177,4177,exact-id,,1,0,1,0,34926089,0x81b63801b17353d2f74318caf983cc0b3df4daf724003caf21af1df9517b7dd6
18,0x70D68897272e6FAac92E219bf14B00f702fe79fc,4335,3,same-floor-same-tier,pause-block-holder,0,0,0,0,34926120,0x76c40182ccdd4261727049972e64f93a1ab93306a3a9e6270e50ee6339291d13
19,0xE51528CFC93caCf2d22c145425a91173b24F5642,176,821,same-floor-same-tier,pause-block-holder,0,2,0,2,34928052,0x2c7dbd239ef16ae62b5792364f97d810ebe5acf6c85d339e877a6f1a6c3045e6
20,0x00AA4aB6FE002A58EC8E576b1827eCb9cf524c71,869,134,same-floor-same-tier,pause-block-holder,0,0,0,0,34928068,0x229d2813af0e4d73c45f44ad66533d38a89a8569ae29ccfb904e562c6f492e0f
21,0x00AA4aB6FE002A58EC8E576b1827eCb9cf524c71,1120,1949,same-floor-same-tier,pause-block-holder,4,2,4,2,34928083,0x57f8b135a33940fb7d7925c80380898c8a8f74014af61a9b8a050d26b2720f80
22,0xA18A50ee01a507c26a30Cd3e24e6c0F088C2e676,1150,79,same-floor-same-tier,pause-block-holder,8,1,8,1,34928097,0xfe44595b2660c00a035951647f770d8bfaf76f9178b937436c071ec0c8eb6e94
23,0x00AA4aB6FE002A58EC8E576b1827eCb9cf524c71,1683,1683,exact-id,,1,0,1,0,34928113,0x2281473c4b8bc317a1ad2cba3bb5ef4c39b37138d82c462b625339e49c870f95
24,0x00AA4aB6FE002A58EC8E576b1827eCb9cf524c71,1703,584,same-floor-same-tier,pause-block-holder,8,1,8,1,34928127,0xebd1fa6be3c7718e0237449b7078a6e10a15ea0011def0c758c2423a75110d05
25,0x00AA4aB6FE002A58EC8E576b1827eCb9cf524c71,1725,1725,exact-id,,5,1,5,1,34928142,0xc83d4ec71f544de3e578fb53bdb560f6e14a102888c97cd1b14127e1dec7f05e
26,0xA18A50ee01a507c26a30Cd3e24e6c0F088C2e676,2534,2534,exact-id,,9,0,9,0,34928158,0x3fd25172fd9a23e070e501f67ff1c6a5aa12dd14edf09b592c35a1dca18ffe85
27,0xE51528CFC93caCf2d22c145425a91173b24F5642,2979,2979,exact-id,,4,0,4,0,34928173,0x634374cd845a904ee271850a13469d6edf209aa64385c0d4b613ab411332a61f
28,0xE51528CFC93caCf2d22c145425a91173b24F5642,3355,3355,exact-id,,9,1,9,1,34928189,0xe7f3ce80384903df5d3f5a17e5689358660c4aa13addd6e0bc2dfdd4f92832a9
29,0xE51528CFC93caCf2d22c145425a91173b24F5642,3850,168,same-floor-same-tier,pause-block-holder,0,0,0,0,34928203,0xfb881089d60753c76867bad35edcf892c719d30ef1891595293eec33ee608a2c
30,0x00AA4aB6FE002A58EC8E576b1827eCb9cf524c71,3967,130,same-floor-same-tier,pause-block-holder,1,1,1,1,34928217,0xfdda9d5106c4b86d7fc477dd49d30c3bf19677c1c67f197bb5770f7ce4fdf3c3
31,0x00AA4aB6FE002A58EC8E576b1827eCb9cf524c71,4036,4036,exact-id,,6,0,6,0,34928234,0xeccf8a077b836a8b4b90ac3e6c0cdff8c84cb3c069fcd9cc676cd2874dc5f567
32,0x3dBD530e3f75FdEC00e013e26bbf95eD40b7e5c2,315,315,exact-id,,1,0,1,0,34931413,0x55ffd4e19cf833e5c45edb6998c84961a24f580e2cd898887f877f18a499dc78
33,0x3dBD530e3f75FdEC00e013e26bbf95eD40b7e5c2,1538,641,same-floor-same-tier,pause-block-holder,8,1,8,1,34931426,0x65025888685500ca214fd12550584d23d6b8db73507840853ef5beea5890a5e8
34,0x8dF4D0d65B9c9D9Ed8Af33030122aCC760ebACb9,1790,194,same-floor-same-tier,pause-block-holder,8,0,8,0,34931440,0xb2bba58337adc2e48f5ddd00575c06ebc1e0d178181b731c8dab19909ff5df03
35,0x3dBD530e3f75FdEC00e013e26bbf95eD40b7e5c2,2969,2969,exact-id,,6,0,6,0,34931455,0xa00b3c66561ac97ed1aefeb7aac97d870e0b01e772c8232405cfa1f9e024cd92
36,0x3dBD530e3f75FdEC00e013e26bbf95eD40b7e5c2,3740,3740,exact-id,,1,0,1,0,34931472,0x3ba137c31807ed675bde1baa4cf0676a171b4cc5a8307da5dd3b89099bda67ba
37,0x9563CeFC253B87773786F439589cF96B333526e8,966,966,exact-id,,4,0,4,0,34931591,0xf70f881b7278438cc19cc382139c992565cf64f1112133b9576ff058b2238b01
38,0x9563CeFC253B87773786F439589cF96B333526e8,3355,916,same-floor-same-tier,repeated-incident-id,9,1,9,1,34931606,0x14a80b57983ec239308b0dbf82a792016b383f8f8601417526309c43aee69526
39,0x10F62eDCf62c78D89953f1A7C796bA56e9dB2F3b,1508,330,same-floor-same-tier,pause-block-holder,7,1,7,1,34934459,0xe57043f37b1955af13e6a41412ff52a6f8b8eaf9e3a2b94d138bfb9fe1bad2ae
40,0xC8b580755BF30D1DCCE76bFCfe29e8129637460E,1526,140,same-floor-same-tier,pause-block-holder,0,1,0,1,34934477,0x645a64de1da0863fd44fa50af071a3f71c8c591861d2f5755744938eacca460c
41,0x6b33716D771CF8e1a7B80e05A5ed25b75d863e3e,1914,7,same-floor-same-tier,pause-block-holder,4,1,4,1,34934492,0xeff8ff4c829ccafe43b73bed31fc6257e8d57d6f13964c0f47f9bf7af886f7d5
42,0x9ef02557bB81557d5FCE437b4FE59b08C724a5D2,2001,29,same-floor-same-tier,pause-block-holder,4,0,4,0,34934507,0x06575831a2a8accb4f5ae2da97460a0918474852e7d45951e495fd47232f1336
43,0x9ef02557bB81557d5FCE437b4FE59b08C724a5D2,2134,87,same-floor-same-tier,pause-block-holder,4,0,4,0,34934521,0x1fbfe9309cd1cf053c3a59290272a6098226faf81d3c747a88f0e4b1d0bed3c7
44,0x9ef02557bB81557d5FCE437b4FE59b08C724a5D2,2145,57,same-floor-same-tier,pause-block-holder,6,0,6,0,34934536,0xc53fcc5f535e4f1845b4aed3c4dd70dceb8488baa56b36f97fd553514b415745
45,0x9ef02557bB81557d5FCE437b4FE59b08C724a5D2,2205,2205,exact-id,,1,0,1,0,34934551,0x8c3f24ddc326f8affa08536e7975011a521b11782ee6f4111e5297ecfc47a447
46,0xcc14B10A7346c8fC99e3CCE1862a6E7118b24035,2414,311,same-floor-same-tier,pause-block-holder,7,0,7,0,34934567,0x7a1622cdd84ef51b4b2b04462926f61992174e5e7f468c33f64cd76193bfcdb5
47,0xA7f5c35464f41cCC9a227642AE0dA88c79564B32,2651,2651,exact-id,,2,1,2,1,34934583,0xb893cdc15a51f0e369c6612e328696857300a916781cdb4ce7ebd12507fd0e17
48,0xA7f5c35464f41cCC9a227642AE0dA88c79564B32,3424,3424,exact-id,,1,0,1,0,34934602,0x9df7fc34b584919119fdc0f1edff086e75c5d7271f021e0b2bf18ccc93cbd11a
49,0x05d3cD6859FCd219b4482Fb1D72743f07df8D606,3528,3528,exact-id,,5,0,5,0,34934617,0xb76604d1e9af800c75bf257f2598fc2fadf93bdfe55b478fc3f626448a5adf47
50,0x9ef02557bB81557d5FCE437b4FE59b08C724a5D2,4305,369,same-floor-same-tier,pause-block-holder,7,1,7,1,34934632,0xfd38aaba869fdccf1249c1145ab246d2a649814d3b571ccdd8315ba92f5557e4
51,0x9ef02557bB81557d5FCE437b4FE59b08C724a5D2,4352,648,same-floor-same-tier,pause-block-holder,6,2,6,2,34934647,0x4d813b6c888774b389ac3ca0125b318bcd9111d3dc477529a31ddcd2c8387212
52,0xcdeA19E6d247619ed5feFE47B4992EA577aD2142,9,121,same-floor-same-tier,pause-block-holder,6,0,6,0,34946696,0x167ad20307afb038bcf7543888b0c08f3c2256bef9b678e38bbceca9e39e09dd
53,0x9d664bED0e8D703DaB957d45699c96DCD4DCF2d2,54,54,exact-id,,0,2,0,2,34946709,0xa51f6615de0f1776919491ce743e05c80ca3a5cb06234e65f46c352fa0f6ecd1
54,0xaFa0aDb782345AAA73d9341F6b5C0Da0afcedeC6,70,70,exact-id,,3,0,3,0,34946724,0x9df36fc2ac926f7bacbde1afb434bff74c0fa95907ecef8ac23fb19792d13f27
55,0x27dA6F24Cd437BC0A00469E19aD8342b7f2e50E3,73,73,exact-id,,0,1,0,1,34946739,0xdb42fb1e2698665fb8b7ef328f1db7259dab3fe1997f63a3c1f084016e9f0d8c
56,0xcdeA19E6d247619ed5feFE47B4992EA577aD2142,205,205,exact-id,,2,0,2,0,34946754,0xcb7aa9f9ecc2d884aa92b6c70926070addac20d46a06ca00e38b037dc2caedf9
57,0xaFa0aDb782345AAA73d9341F6b5C0Da0afcedeC6,230,15,same-floor-same-tier,pause-block-holder,5,1,5,1,34946769,0x81c34d9e338556722e52f95096a8f17b354fa487d3264a954821af2480c3a7df
58,0x1f3cc123f5C83C34Ee68B9Bd7b13039A73D3E937,265,830,same-floor-same-tier,pause-block-holder,8,1,8,1,34946784,0xdde86760c43a73244922f370d4f5863b4c914f514840dc82813d50b4743866e1
59,0x7AE5535627065f642388c407A68e93Dcfe759C07,169,169,exact-id,,6,0,6,0,34946909,0x380a43d2cc11c6719f059319f67118df75047bcb3413de397c30a55eb87614f1
60,0x672399798c81FB80f810424a62e032cE169f8D12,209,154,same-floor-same-tier,pause-block-holder,4,0,4,0,34949332,0xedaae6e0f1299c6dcf76d32dea2b5fb2b3d232d70dc02fdbd05bf684e30078c8
61,0x672399798c81FB80f810424a62e032cE169f8D12,221,221,exact-id,,4,0,4,0,34949347,0xcdb505c8b5db59a8e615ba867b993605a56089b53149bc8eb663701cc2fcdbf3
62,0x672399798c81FB80f810424a62e032cE169f8D12,357,352,same-floor-same-tier,pause-block-holder,7,0,7,0,34949371,0x1da140dbb12d8309e881a5058715aa2a3d1e7ec159343685e6fe0956fa903ced
63,0x9d664bED0e8D703DaB957d45699c96DCD4DCF2d2,426,46,same-floor-same-tier,pause-block-holder,3,1,3,1,34949386,0x0c94067f031138a1f08caa59864c2f93648b27af646bda3f0fe9391c16010511
64,0xaFa0aDb782345AAA73d9341F6b5C0Da0afcedeC6,493,18,same-floor-same-tier,pause-block-holder,3,0,3,0,34949401,0xfb891700c8951d0ddf715c0b4d303ffa14c45f2cdc32e3edf3b1c439d540829b
65,0x561A7818742874bd14f05B3f999BaB1FeAf4c84a,522,522,exact-id,,1,2,1,2,34949417,0x90fb00d0ecff46044d8b58b281d2617dcd1500fa0a93006001d32f1b5cba0be8
66,0x27dA6F24Cd437BC0A00469E19aD8342b7f2e50E3,551,551,exact-id,,9,0,9,0,34949433,0xab5037da45dd1e41cda1017792d18fb769f77512777348eb00ef23f42f3f3318
67,0x672399798c81FB80f810424a62e032cE169f8D12,618,410,same-floor-same-tier,pause-block-holder,6,0,6,0,34949449,0xdadf2fece95265a02185d3b251722f511e7e9ceebe70a6d5b96d16ec75dac5cb
68,0x672399798c81FB80f810424a62e032cE169f8D12,632,163,same-floor-same-tier,pause-block-holder,4,0,4,0,34949462,0xebd3b7a01f58d0e066afe5e89fd2bd2371008ed3dbbe29ffff3f3f833f8843e5
69,0x226c1cf05631AB8eb374acdBeA87b25f159f72bE,725,235,same-floor-same-tier,pause-block-holder,8,0,8,0,34949497,0x385875aa048f59b6567ee5fac19b43a6e4db6ab3ff18d2dee5b310ad5ffa9fca
70,0x672399798c81FB80f810424a62e032cE169f8D12,792,278,same-floor-same-tier,pause-block-holder,0,0,0,0,34949540,0xca2080e96696fcd26e7ad61db670520aae5c31f2912897f75066dd652cb0079e
71,0x4A22064846B49393A26256a2a23402D4311421D8,882,882,exact-id,,3,0,3,0,34949580,0x9f7d08e222f35b4f47ecdcb4fff39b1b6499a4bad431466aedd9702da35e7f86
72,0x226c1cf05631AB8eb374acdBeA87b25f159f72bE,924,1031,same-floor-same-tier,pause-block-holder,9,1,9,1,34949595,0xda3c49e72297971742fc212ae6ceefb58e1b5a3848df752b381edbf724cec86c
73,0xaFa0aDb782345AAA73d9341F6b5C0Da0afcedeC6,1103,1103,exact-id,,2,0,2,0,34949610,0xa291e0603bc5774c8563cf4426e931a2db419a5bcf55e7b0c939b2216514f459
74,0xaFa0aDb782345AAA73d9341F6b5C0Da0afcedeC6,1188,1188,exact-id,,9,1,9,1,34949626,0x0b78c0ad90abd5be4aeb1ddb34767903046641b10895481374fb19b01ff32786
