category,label,transaction_hash,block_number,timestamp_utc,from,to,status,explorer_url,notes
observed-exploit,Representative stale-approval transfer,0xe35ce85a413415ab268b5e7e7ce822066072de5117ebf081d2ca4357d22cbd8c,34973603,2026-08-13T00:51:22.000Z,0x2001a402e8803c1c92317c080326f1c80aa74532,0xb53ccf301cf2e2283265810372a0915defb7e53d,success,https://robinhoodchain.blockscout.com/tx/0xe35ce85a413415ab268b5e7e7ce822066072de5117ebf081d2ca4357d22cbd8c,Representative incident transaction; not the complete incident set.
containment,Ban observed exploit runtime codehash,0x179d4dd6024bbf854b77feac2137fa26ce6decc302c5dbf01737707d1c095985,34978749,2026-08-13T00:59:58.000Z,0x7171e64e979265aed6588577d1c6b60a701d7866,0x40686524e56aff0f1446958725dcf6e6da5381e6,success,https://robinhoodchain.blockscout.com/tx/0x179d4dd6024bbf854b77feac2137fa26ce6decc302c5dbf01737707d1c095985,Owner call to banVenueCodehash for runtime hash 0x849542ca8df7205f2117bfa1a8556e57c3a2a71e7b806e07597a33a5f8835723.
containment,Stop registered canonical pool routing,0xe250bed652711301eafd807d537dd44b5356482e8333553af2421c4eddccd7f6,34984482,2026-08-13T01:09:32.000Z,0x7171e64e979265aed6588577d1c6b60a701d7866,0x40686524e56aff0f1446958725dcf6e6da5381e6,success,https://robinhoodchain.blockscout.com/tx/0xe250bed652711301eafd807d537dd44b5356482e8333553af2421c4eddccd7f6,"Redirected V1's authorized hook to the dead address. This stopped registered canonical pools, not every possible external pool."
fund-preservation,Sweep NVDA V1 burn and LP pots to keeper,0x8c5634cc30b24a49708e922d95e97a91445445ccdacecb5336932c2038b3223a,35255915,2026-08-13T08:43:20.000Z,0xd1de50b724de2e243d3f6f3c3ef1806babd39e58,0x5a7d914597476393794e100ddd8b70f8c3f570cc,success,https://robinhoodchain.blockscout.com/tx/0x8c5634cc30b24a49708e922d95e97a91445445ccdacecb5336932c2038b3223a,Keeper-authorized sweepPots call. Destination was fixed to the published keeper wallet.
fund-preservation,Sweep AAPL V1 burn and LP pots to keeper,0x82ce7062b73f37b0fd75904db45d97d94ea7c63064fea4bd01e742889fc0bbe4,35255992,2026-08-13T08:43:28.000Z,0xd1de50b724de2e243d3f6f3c3ef1806babd39e58,0x5a7d914597476393794e100ddd8b70f8c3f570cc,success,https://robinhoodchain.blockscout.com/tx/0x82ce7062b73f37b0fd75904db45d97d94ea7c63064fea4bd01e742889fc0bbe4,Keeper-authorized sweepPots call. Destination was fixed to the published keeper wallet.
fund-preservation,Sweep TSLA V1 burn and LP pots to keeper,0x45d233a6c2ed1e5a81c01912514356318f4ae9e5a93a08e72f97221d9de3f665,35256067,2026-08-13T08:43:35.000Z,0xd1de50b724de2e243d3f6f3c3ef1806babd39e58,0x5a7d914597476393794e100ddd8b70f8c3f570cc,success,https://robinhoodchain.blockscout.com/tx/0x45d233a6c2ed1e5a81c01912514356318f4ae9e5a93a08e72f97221d9de3f665,Keeper-authorized sweepPots call. Destination was fixed to the published keeper wallet.
fund-preservation,Sweep GME V1 burn and LP pots to keeper,0xdae39b03c45c2a689058f4925139d5439f4d27e6f9c0285bebff4ed320d2dc35,35256156,2026-08-13T08:43:44.000Z,0xd1de50b724de2e243d3f6f3c3ef1806babd39e58,0x5a7d914597476393794e100ddd8b70f8c3f570cc,success,https://robinhoodchain.blockscout.com/tx/0xdae39b03c45c2a689058f4925139d5439f4d27e6f9c0285bebff4ed320d2dc35,Keeper-authorized sweepPots call. Destination was fixed to the published keeper wallet.
fund-preservation,Sweep SPCX V1 burn and LP pots to keeper,0xc28d5b5dde140571cd1609f6613883700d2bb1b0e5525431fb5b972fc164c016,35257292,2026-08-13T08:45:38.000Z,0xd1de50b724de2e243d3f6f3c3ef1806babd39e58,0x5a7d914597476393794e100ddd8b70f8c3f570cc,success,https://robinhoodchain.blockscout.com/tx/0xc28d5b5dde140571cd1609f6613883700d2bb1b0e5525431fb5b972fc164c016,Keeper-authorized sweepPots call. Destination was fixed to the published keeper wallet.
fund-preservation,Sweep SPY V1 burn and LP pots to keeper,0xa0fe34dfdb7aa1d5f97a127046961b4aafa4e489fca7d7d500bd2f6c5c036249,35257363,2026-08-13T08:45:46.000Z,0xd1de50b724de2e243d3f6f3c3ef1806babd39e58,0x5a7d914597476393794e100ddd8b70f8c3f570cc,success,https://robinhoodchain.blockscout.com/tx/0xa0fe34dfdb7aa1d5f97a127046961b4aafa4e489fca7d7d500bd2f6c5c036249,Keeper-authorized sweepPots call. Destination was fixed to the published keeper wallet.
fund-preservation,Sweep PLTR V1 burn and LP pots to keeper,0xf079d5cd82f9c19c8225d40ec3a0e775aa21739ebde5904e5d857003de8a9e12,35257433,2026-08-13T08:45:53.000Z,0xd1de50b724de2e243d3f6f3c3ef1806babd39e58,0x5a7d914597476393794e100ddd8b70f8c3f570cc,success,https://robinhoodchain.blockscout.com/tx/0xf079d5cd82f9c19c8225d40ec3a0e775aa21739ebde5904e5d857003de8a9e12,Keeper-authorized sweepPots call. Destination was fixed to the published keeper wallet.
fund-preservation,Sweep NFLX V1 burn and LP pots to keeper,0x791a4ba855128660bad1c9f9b495405b8a19a5579c7c7616290093d4e895bed7,35257503,2026-08-13T08:46:00.000Z,0xd1de50b724de2e243d3f6f3c3ef1806babd39e58,0x5a7d914597476393794e100ddd8b70f8c3f570cc,success,https://robinhoodchain.blockscout.com/tx/0x791a4ba855128660bad1c9f9b495405b8a19a5579c7c7616290093d4e895bed7,Keeper-authorized sweepPots call. Destination was fixed to the published keeper wallet.
fund-preservation,Sweep RDDT V1 burn and LP pots to keeper,0xe3883f0d23c49d015214684758e4d749320aa9d4636c6244c77ed0e7c0d45e33,35257574,2026-08-13T08:46:07.000Z,0xd1de50b724de2e243d3f6f3c3ef1806babd39e58,0x5a7d914597476393794e100ddd8b70f8c3f570cc,success,https://robinhoodchain.blockscout.com/tx/0xe3883f0d23c49d015214684758e4d749320aa9d4636c6244c77ed0e7c0d45e33,Keeper-authorized sweepPots call. Destination was fixed to the published keeper wallet.
fund-preservation,Sweep MSTR V1 burn and LP pots to keeper,0x5046f53bfb21d0681388071b9d1d48fa926c479f950867a9e4344fa614985a7b,35257648,2026-08-13T08:46:14.000Z,0xd1de50b724de2e243d3f6f3c3ef1806babd39e58,0x5a7d914597476393794e100ddd8b70f8c3f570cc,success,https://robinhoodchain.blockscout.com/tx/0x5046f53bfb21d0681388071b9d1d48fa926c479f950867a9e4344fa614985a7b,Keeper-authorized sweepPots call. Destination was fixed to the published keeper wallet.
